#Temps	EA1{7}

4.78E-5	-0.112310253316537
4.79E-5	-0.167462593642995
4.8E-5	-0.220108009409159
4.81E-5	-0.270246500615031
4.82E-5	-0.322891916381195
4.83E-5	-0.373030407587066
4.84E-5	-0.425675823353231
4.85E-5	-0.470800465438515
4.86E-5	-0.518432032084092
4.87E-5	-0.56606359872967
4.88E-5	-0.611188240814954
4.89E-5	-0.656312882900238
4.9E-5	-0.698930600425228
4.91E-5	-0.741548317950219
4.92E-5	-0.781659110914916
4.93E-5	-0.824276828439906
4.94E-5	-0.859373772284016
4.95E-5	-0.894470716128126
4.96E-5	-0.929567659972236
4.97E-5	-0.964664603816345
4.98E-5	-0.997254623100162
4.99E-5	-1.02483079326339
5E-5	-1.05240696342662
5.01E-5	-1.07747620902956
5.02E-5	-1.10254545463249
5.03E-5	-1.12510777567513
5.04E-5	-1.14767009671777
5.05E-5	-1.16521856863983
5.06E-5	-1.18527396512218
5.07E-5	-1.19780858792365
5.08E-5	-1.21285013528541
5.09E-5	-1.22538475808688
5.1E-5	-1.23290553176776
5.11E-5	-1.24042630544864
5.12E-5	-1.24544015456922
5.13E-5	-1.24794707912952
5.14E-5	-1.25045400368981
5.15E-5	-1.25045400368981
5.16E-5	-1.24794707912952
5.17E-5	-1.24544015456922
5.18E-5	-1.23791938088834
5.19E-5	-1.23039860720746
5.2E-5	-1.22287783352658
5.21E-5	-1.21034321072511
5.22E-5	-1.19780858792365
5.23E-5	-1.18276704056188
5.24E-5	-1.16521856863983
5.25E-5	-1.14767009671777
5.26E-5	-1.12761470023543
5.27E-5	-1.10505237919278
5.28E-5	-1.08249005815014
5.29E-5	-1.05491388798691
5.3E-5	-1.02984464238398
5.31E-5	-0.999761547660455
5.32E-5	-0.972185377497226
5.33E-5	-0.942102282773703
5.34E-5	-0.909512263489887
5.35E-5	-0.879429168766364
5.36E-5	-0.844332224922255
5.37E-5	-0.806728356517851
5.38E-5	-0.769124488113448
5.39E-5	-0.734027544269338
5.4E-5	-0.696423675864935
5.41E-5	-0.651299033779651
5.42E-5	-0.613695165375248
